	Barretts_12_EGAF00000525202	Barretts_19_EGAF00000530863	Barretts_6_EGAF00000560127	Barretts_22_EGAF00000525458	Barretts_23_EGAF00000501983	Barretts_15_EGAF00000525456	Barretts_21_EGAF00000560126	Barretts_5_EGAF00000525462	Barretts_2_EGAF00000525461	Barretts_20_EGAF00000560125	Barretts_4_EGAF00000525457	Barretts_11_EGAF00000586502	Barretts_17_EGAF00000525463	Barretts_13_EGAF00000525459	Barretts_3_EGAF00000560128	Barretts_8_EGAF00000525460	Barretts_7_EGAF00000501982	Barretts_18_EGAF00000560130	Barretts_10_EGAF00000530875	Barretts_16_EGAF00000525464	Barretts_9_EGAF00000525201	Barretts_1_EGAF00000501981	Barretts_14_EGAF00000560129
G000015305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000015405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000015505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000015565	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	1.0	0	0	0
G000015725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0
G000015745	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000015885	0	1.0	0	4.0	1.0	331.0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	1.0	0	0
G000016065	0	0	0	0	0	3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000016185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000016285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000016325	5.0	0	3.0	12.0	0	20.0	3.0	13.0	11.0	3.0	13.0	9.0	13.0	8.0	3.0	12.0	0	4.0	4.0	10.0	8.0	0	3.0
G000016345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000016405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000016565	0	0	1.0	2.0	0	1.0	4.0	4.0	1.0	1.0	1.0	2.0	1.0	2.0	0	3.0	0	1.0	0	6.0	1.0	0	2.0
G000016645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000016765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000016825	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000016885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000016985	1.0	0	0	1.0	0	1.0	0	1.0	0	0	1.0	1.0	1.0	1.0	0	1.0	0	0	1.0	1.0	1.0	0	0
G000017005	0	0	0	2.0	1.0	100.0	0	0	0	0	0	1.0	0	0	2.0	0	3.0	0	9.0	0	1.0	3.0	0
G000017145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000017245	0	0	0	1.0	1.0	106.0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	0	0
G000017265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000017305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000017405	0	0	0	3.0	0	2.0	1.0	1.0	1.0	0	0	5.0	2.0	1.0	0	1.0	0	0	0	1.0	1.0	0	0
G000017465	0	0	0	0	0	12.0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0
G000017565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000017585	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000017645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000017685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000017705	0	0	0	0	0	5.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000018145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000018285	0	0	0	0	0	1.0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0
G000018545	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000018665	1.0	0	0	0	0	0	0	0	4.0	0	4.0	0	2.0	4.0	0	0	0	0	0	0	0	0	0
G000018685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000018785	1.0	0	0	1.0	0	1.0	0	1.0	1.0	0	1.0	1.0	1.0	0	0	1.0	0	0	1.0	1.0	1.0	0	0
G000019165	1.0	0	0	1.0	0	1.0	0	1.0	1.0	1.0	1.0	0	1.0	0	0	1.0	0	1.0	0	1.0	1.0	0	0
G000019205	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000019365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000019405	0	0	0	0	0	21.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000019725	0	0	1.0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000019745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000019785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000019845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000019945	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	1.0	0	0	1.0	0	0	0
G000020045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000020205	1.0	0	1.0	0	1.0	2.0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	1.0	4.0	0	0
G000020385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
