	14458.ERR2373132	14458.ERR2373099	14458.ERR2373141	14458.ERR2373059	14458.ERR2373065	14458.ERR2373066	14458.ERR2373070	14458.ERR2373071	14458.ERR2373079	14458.ERR2373082	14458.ERR2373084	14458.ERR2373057	14458.ERR2373104	14458.ERR2373102	14458.ERR2373105	14458.ERR2373142	14458.ERR2373049	14458.ERR2373051	14458.ERR2373054	14458.ERR2373088	14458.ERR2373130	14458.ERR2373108	14458.ERR2373131	14458.ERR2373113	14458.ERR2373135	14458.ERR2373120	14458.ERR2373116	14458.ERR2373126	14458.ERR2373137
G000185885	15.0	7.0	2.0	32.0	98.0	7.0	13.0	6.0	1.0	226.0	41.0	15.0	6.0	116.0	7.0	7.0	24.0	14.0	6.0	46.0	40.0	30.0	17.0	15.0	8.0	12.0	9.0	56.0	4.0
G000185905	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	3.0	0	0	0	0	0	0
G000186165	868.0	4615.0	348.0	254.0	4828.0	18666.0	959.0	13939.0	23.0	42.0	16527.0	2655.0	24.0	31970.0	1618.0	10756.0	14304.0	18274.0	26511.0	4595.0	17080.0	1.0	10998.0	1478.0	7049.0	26.0	6259.0	7429.0	8996.0
G000186205	0	1.0	0	0	0	1.0	0	0	0	0	0	0	1.0	0	0	0	0	1.0	1.0	0	0	0	2.0	2.0	0	0	0	0	0
G000186425	119.0	91.0	29.0	12.0	3.0	396.0	34.0	1156.0	9.0	6.0	599.0	188.0	0	105.0	48.0	3.0	1.0	907.0	412.0	2471.0	103.0	0	39.0	110.0	2.0	256.0	2.0	536.0	1571.0
G000186945	61.0	320.0	118.0	36.0	256.0	194.0	146.0	296.0	299.0	300.0	1044.0	352.0	872.0	805.0	216.0	577.0	8.0	1703.0	325.0	2947.0	2116.0	18.0	969.0	1168.0	844.0	79.0	3382.0	530.0	109.0
G000187005	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000187125	0	3.0	3.0	2.0	6.0	9.0	19.0	33.0	15.0	6.0	37.0	4.0	14.0	12.0	0	11.0	3.0	35.0	8.0	162.0	25.0	8.0	12.0	22.0	8.0	8.0	4.0	9.0	1.0
G000187465	1235.0	2524.0	271.0	1773.0	4823.0	12830.0	1164.0	6354.0	717.0	10293.0	16347.0	10067.0	4476.0	40673.0	6794.0	2548.0	7850.0	7058.0	12118.0	5246.0	7337.0	1088.0	8688.0	9000.0	4346.0	625.0	39915.0	21957.0	2041.0
G000187895	2.0	108.0	5.0	4.0	3.0	22.0	13.0	11.0	18.0	32.0	120.0	34.0	68.0	44.0	15.0	6.0	4.0	82.0	17.0	119.0	114.0	4.0	71.0	15.0	17.0	47.0	321.0	36.0	12.0
G000187995	1.0	1.0	0	2.0	11.0	29.0	2.0	7.0	2.0	16.0	5.0	5.0	6.0	18.0	10.0	1.0	2.0	3.0	16.0	9.0	6.0	6.0	3.0	4.0	2.0	3.0	6.0	12.0	2.0
G000188015	7.0	11.0	1.0	20.0	58.0	147.0	8.0	42.0	6.0	96.0	23.0	23.0	45.0	95.0	59.0	5.0	13.0	16.0	91.0	34.0	31.0	20.0	15.0	24.0	11.0	7.0	31.0	67.0	8.0
G000188035	23.0	21.0	3.0	51.0	167.0	160.0	24.0	61.0	10.0	353.0	84.0	57.0	63.0	241.0	76.0	21.0	46.0	45.0	110.0	110.0	84.0	48.0	51.0	57.0	20.0	30.0	57.0	150.0	17.0
G000188055	21.0	13.0	3.0	27.0	66.0	207.0	11.0	56.0	10.0	124.0	63.0	35.0	51.0	149.0	85.0	11.0	31.0	36.0	136.0	95.0	43.0	30.0	37.0	59.0	22.0	15.0	63.0	128.0	13.0
G000188175	0	0	0	0	0	0	1.0	1.0	0	1.0	3.0	0	1.0	3.0	0	1.0	0	3.0	1.0	12.0	4.0	1.0	1.0	1.0	0	2.0	3.0	2.0	0
G000189535	0	0	0	0	1.0	1.0	0	0	1.0	0	1.0	1.0	0	3.0	1.0	0	2.0	0	3.0	1.0	1.0	1.0	3.0	0	0	3.0	2.0	2.0	0
G000189595	0	2.0	1.0	0	0	1.0	1.0	0	0	1.0	6.0	1.0	1.0	2.0	1.0	1.0	0	9.0	1.0	12.0	1.0	0	10.0	3.0	0	0	2.0	10.0	3.0
G000190475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000190535	1.0	7.0	4.0	0	7.0	4.0	12.0	10.0	12.0	13.0	63.0	30.0	25.0	9.0	8.0	6.0	1.0	38.0	23.0	26.0	44.0	2.0	172.0	116.0	13.0	8.0	71.0	41.0	3.0
G000190575	0	3.0	2.0	0	1.0	0	2.0	4.0	1.0	9.0	10.0	5.0	11.0	8.0	1.0	3.0	3.0	41.0	5.0	15.0	33.0	0	9.0	9.0	2.0	3.0	4.0	12.0	2.0
