	14458.ERR2373068	14458.ERR2373096	14458.ERR2373109	14458.ERR2373092	14458.ERR2373133	14458.ERR2373106	14458.ERR2373103	14458.ERR2373097	14458.ERR2373125	14458.ERR2373112	14458.ERR2373076	14458.ERR2373134	14458.ERR2373093	14458.ERR2373121	14458.ERR2373090	14458.ERR2373089	14458.ERR2373111	14458.ERR2373050	14458.ERR2373095	14458.ERR2373077	14458.ERR2373058	14458.ERR2373061	14458.ERR2373067	14458.ERR2373098	14458.ERR2373107	14458.ERR2373139	14458.ERR2373140	14458.ERR2373146	14458.ERR2373138	14458.ERR2373144	14458.ERR2373085	14458.ERR2373083	14458.ERR2373080	14458.ERR2373078	14458.ERR2373081	14458.ERR2373069	14458.ERR2373074	14458.ERR2373075	14458.ERR2373136	14458.ERR2373110	14458.ERR2373117	14458.ERR2373053	14458.ERR2373055	14458.ERR2373052	14458.ERR2373118	14458.ERR2373124	14458.ERR2373127	14458.ERR2373123	14458.ERR2373119	14458.ERR2373122
G010587025	3.0	1.0	1.0	5.0	1.0	2.0	1.0	2.0	3.0	2.0	1.0	0	7.0	6.0	0	3.0	5.0	0	34.0	2.0	1.0	3.0	2.0	4.0	14.0	0	1.0	0	3.0	8.0	1.0	1.0	16.0	10.0	68.0	43.0	25.0	2.0	48.0	3.0	13.0	1.0	2.0	9.0	0	4.0	3.0	8.0	13.0	2.0
G010587385	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	2.0	4.0	0	0	5.0	0	1.0	2.0	0	0	0	2.0	6.0	0	0	1.0	5.0	2.0	3.0	3.0	0	2.0	2.0	1.0	0	0	1.0	0	0	0	1.0	0	0
G010634845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G010667655	2.0	9.0	3.0	8.0	3.0	2.0	2.0	9.0	3.0	3.0	3.0	6.0	4.0	1.0	3.0	3.0	9.0	6.0	19.0	2.0	4.0	5.0	2.0	3.0	8.0	1.0	3.0	5.0	0	0	2.0	2.0	1.0	1.0	3.0	4.0	3.0	3.0	0	3.0	17.0	3.0	3.0	2.0	6.0	2.0	3.0	1.0	10.0	1.0
G010667665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G010667685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0
G010669205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0
G010669225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0
G010669305	0	1.0	0	1.0	0	0	0	1.0	0	0	0	0	1.0	0	0	0	0	0	2.0	2.0	0	0	1.0	0	0	0	0	0	0	1.0	1.0	0	1.0	0	1.0	0	1.0	2.0	0	0	0	1.0	2.0	6.0	0	1.0	0	4.0	1.0	0
G010723415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G010731115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G010731615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G010748935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0
