	14458.ERR2373049	14458.ERR2373113	14458.ERR2373132	14458.ERR2373070	14458.ERR2373108	14458.ERR2373088	14458.ERR2373071	14458.ERR2373059	14458.ERR2373065	14458.ERR2373066	14458.ERR2373099	14458.ERR2373105	14458.ERR2373104	14458.ERR2373102	14458.ERR2373141	14458.ERR2373142	14458.ERR2373135	14458.ERR2373137	14458.ERR2373079	14458.ERR2373084	14458.ERR2373082	14458.ERR2373130	14458.ERR2373131	14458.ERR2373051	14458.ERR2373116	14458.ERR2373057	14458.ERR2373054	14458.ERR2373120	14458.ERR2373126
G000439045	0	0	0	3.0	1.0	4.0	1.0	0	0	1.0	0	1.0	1.0	2.0	0	0	0	0	0	1.0	1.0	1.0	0	1.0	5.0	1.0	32.0	34.0	2.0
G000439065	11.0	1535.0	29.0	366.0	19.0	2028.0	889.0	251.0	258.0	28.0	102.0	144.0	367.0	864.0	24.0	265.0	86.0	109.0	583.0	233.0	508.0	857.0	3108.0	330.0	408.0	5218.0	142.0	1044.0	781.0
G000439105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0
G000439125	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000439255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000442595	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000442645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000443165	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0
G000445065	0	0	0	0	0	0	0	0	0	4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000445105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000445445	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0
G000447205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000447435	0	0	0	1.0	0	0	0	0	0	0	1.0	1.0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000447675	0	7.0	0	0	0	5.0	3.0	0	0	0	0	1.0	0	2.0	0	3.0	1.0	0	0	2.0	0	2.0	19.0	0	1.0	6.0	2.0	1.0	4.0
G000452245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	0	0	0	0	0	1.0
G000455225	0	1.0	0	0	0	8.0	0	0	0	1.0	0	3.0	1.0	0	1.0	0	1.0	0	1.0	6.0	0	0	1.0	3.0	6.0	1.0	0	1.0	2.0
G000455245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000455445	29.0	440.0	14.0	37.0	17.0	321.0	39.0	7.0	24.0	24.0	45.0	31.0	187.0	109.0	31.0	55.0	62.0	20.0	36.0	435.0	93.0	312.0	275.0	256.0	202.0	133.0	125.0	75.0	161.0
G000455825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
